Date : 2026-01-15 21:11:45
Directory : /Users/ndt/Desktop/DATN/frontend-app
Total : 466 files,  81324 codes, 535 comments, 3288 blanks, all 85147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/views/BorrowCrossChain/components/HealthFactor                                                                                   |          4 |        227 |          1 |         21 |        249 |
| src/views/BorrowCrossChain/components/InputCustom                                                                                    |          1 |        331 |          1 |         16 |        348 |
| src/views/BorrowCrossChain/components/LTVSection                                                                                     |          1 |        125 |          7 |         17 |        149 |
| src/views/BorrowCrossChain/components/MintBanner                                                                                     |          1 |         69 |          9 |          6 |         84 |
| src/views/BorrowCrossChain/state                                                                                                     |          3 |         25 |          0 |          6 |         31 |
| src/views/LiquidationLeaderboard                                                                                                     |         12 |        938 |         27 |         87 |      1,052 |
| src/views/LiquidationLeaderboard (Files)                                                                                             |          3 |        284 |         25 |         20 |        329 |
| src/views/LiquidationLeaderboard/components                                                                                          |          9 |        654 |          2 |         67 |        723 |
| src/views/LiquidationLeaderboard/components (Files)                                                                                  |          2 |         58 |          0 |          4 |         62 |
| src/views/LiquidationLeaderboard/components/StabilityVault                                                                           |          7 |        596 |          2 |         63 |        661 |
| src/views/MyPortfolio                                                                                                                |         25 |      2,429 |         15 |        203 |      2,647 |
| src/views/MyPortfolio (Files)                                                                                                        |          7 |        717 |          5 |         58 |        780 |
| src/views/MyPortfolio/components                                                                                                     |         16 |      1,701 |         10 |        140 |      1,851 |
| src/views/MyPortfolio/components (Files)                                                                                             |          7 |        972 |          7 |         53 |      1,032 |
| src/views/MyPortfolio/components/InputCustom                                                                                         |          3 |        288 |          1 |         24 |        313 |
| src/views/MyPortfolio/components/RepayModals                                                                                         |          6 |        441 |          2 |         63 |        506 |
| src/views/MyPortfolio/state                                                                                                          |          2 |         11 |          0 |          5 |         16 |
| src/views/MyPortfolioUniversal                                                                                                       |         27 |      2,981 |         26 |        243 |      3,250 |
| src/views/MyPortfolioUniversal (Files)                                                                                               |          8 |        776 |          8 |         69 |        853 |
| src/views/MyPortfolioUniversal/components                                                                                            |         17 |      2,194 |         18 |        169 |      2,381 |
| src/views/MyPortfolioUniversal/components (Files)                                                                                    |          8 |      1,467 |         15 |         81 |      1,563 |
| src/views/MyPortfolioUniversal/components/InputCustom                                                                                |          3 |        286 |          1 |         24 |        311 |
| src/views/MyPortfolioUniversal/components/RepayModals                                                                                |          6 |        441 |          2 |         64 |        507 |
| src/views/MyPortfolioUniversal/state                                                                                                 |          2 |         11 |          0 |          5 |         16 |
| src/views/NotFound                                                                                                                   |          1 |         24 |          0 |          2 |         26 |
| src/views/SwapToken                                                                                                                  |          7 |        392 |          1 |         66 |        459 |
| src/views/SwapToken (Files)                                                                                                          |          5 |        381 |          1 |         61 |        443 |
| src/views/SwapToken/state                                                                                                            |          2 |         11 |          0 |          5 |         16 |
| src/views/UniversalWallet                                                                                                            |         22 |      1,322 |         22 |        187 |      1,531 |
| src/views/UniversalWallet (Files)                                                                                                    |          4 |         86 |          0 |         19 |        105 |
| src/views/UniversalWallet/components                                                                                                 |         10 |        889 |         22 |        108 |      1,019 |
| src/views/UniversalWallet/components/InfoSection                                                                                     |          3 |        257 |          0 |         21 |        278 |
| src/views/UniversalWallet/components/WalletSection                                                                                   |          7 |        632 |         22 |         87 |        741 |
| src/views/UniversalWallet/hooks                                                                                                      |          6 |        321 |          0 |         54 |        375 |
| src/views/UniversalWallet/state                                                                                                      |          2 |         26 |          0 |          6 |         32 |
| src/views/Vaults                                                                                                                     |         37 |      2,067 |          8 |        277 |      2,352 |
| src/views/Vaults (Files)                                                                                                             |          2 |         53 |          0 |         10 |         63 |
| src/views/Vaults/components                                                                                                          |         26 |      1,894 |          8 |        231 |      2,133 |
| src/views/Vaults/components (Files)                                                                                                  |          2 |        170 |          0 |         18 |        188 |
| src/views/Vaults/components/CustomSlider                                                                                             |          2 |         58 |          0 |          7 |         65 |
| src/views/Vaults/components/Dashboard                                                                                                |         16 |      1,031 |          6 |        112 |      1,149 |
| src/views/Vaults/components/Dashboard (Files)                                                                                        |          5 |        334 |          3 |         44 |        381 |
| src/views/Vaults/components/Dashboard/Chart                                                                                          |          5 |        429 |          0 |         40 |        469 |
| src/views/Vaults/components/Dashboard/CollateralFarming                                                                              |          6 |        268 |          3 |         28 |        299 |
| src/views/Vaults/components/DepositSection                                                                                           |          2 |        235 |          0 |         33 |        268 |
| src/views/Vaults/components/VaultBanner                                                                                              |          1 |         70 |          0 |          6 |         76 |
| src/views/Vaults/components/VaultContent                                                                                             |          1 |         75 |          0 |         10 |         85 |
| src/views/Vaults/components/WithdrawSection                                                                                          |          2 |        255 |          2 |         45 |        302 |
| src/views/Vaults/hooks                                                                                                               |          7 |        114 |          0 |         32 |        146 |
| src/views/Vaults/state                                                                                                               |          2 |          6 |          0 |          4 |         10 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/ndt/Desktop/DATN/frontend-app/.dockerignore                                                                                   | Ignore             |         15 |          0 |          0 |         15 |
| /Users/ndt/Desktop/DATN/frontend-app/.prettierignore                                                                                 | Ignore             |         23 |          0 |          0 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/.prettierrc                                                                                     | JSON               |          7 |          0 |          1 |          8 |
| /Users/ndt/Desktop/DATN/frontend-app/Dockerfile                                                                                      | Docker             |         11 |          1 |         11 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/Jenkinsfile                                                                                     | Groovy             |        290 |          9 |         35 |        334 |
| /Users/ndt/Desktop/DATN/frontend-app/README.md                                                                                       | Markdown           |         40 |          0 |         11 |         51 |
| /Users/ndt/Desktop/DATN/frontend-app/crypto-mui-icon-cli.json                                                                        | JSON               |          3 |          0 |          0 |          3 |
| /Users/ndt/Desktop/DATN/frontend-app/eslint.config.js                                                                                | JavaScript         |         27 |          0 |          2 |         29 |
| /Users/ndt/Desktop/DATN/frontend-app/index.html                                                                                      | HTML               |         76 |          3 |         10 |         89 |
| /Users/ndt/Desktop/DATN/frontend-app/nginx.conf                                                                                      | Properties         |         35 |         16 |         10 |         61 |
| /Users/ndt/Desktop/DATN/frontend-app/package-lock.json                                                                               | JSON               |     19,149 |          0 |          1 |     19,150 |
| /Users/ndt/Desktop/DATN/frontend-app/package.json                                                                                    | JSON               |         58 |          0 |          1 |         59 |
| /Users/ndt/Desktop/DATN/frontend-app/public/sitemap.xml                                                                              | XML                |          5 |          0 |          1 |          6 |
| /Users/ndt/Desktop/DATN/frontend-app/public/vite.svg                                                                                 | XML                |          1 |          0 |          0 |          1 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/HealthFactorNumberSvg.tsx                                                            | TypeScript JSX     |         46 |          0 |          3 |         49 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/LoadingIcon.tsx                                                                      | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/NoDataIcon.tsx                                                                       | TypeScript JSX     |         28 |          0 |          2 |         30 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/icons.tsx                                                                            | TypeScript JSX     |        182 |          2 |         17 |        201 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/BeefyIcon.tsx                                                              | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/FluidIcon.tsx                                                              | TypeScript JSX     |         27 |          0 |          3 |         30 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/JupiterIcon.tsx                                                            | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/KaminoIcon.tsx                                                             | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/MorphoIcon.tsx                                                             | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/SiloV2Icon.tsx                                                             | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/TokemakIcon.tsx                                                            | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/assets/protocols/WasabiIcon.tsx                                                             | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/ButtonApproveEVM/ButtonApproveEVM.tsx                                            | TypeScript JSX     |         75 |          0 |         11 |         86 |
