"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "Properties", "JavaScript", "JSON with Comments", "Groovy", "Ignore", "Docker", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/Failed.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"/Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/Loading.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/Lockout.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/LockoutUniversal.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/NAValue.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/ndt/Desktop/DATN/frontend-app/src/components/StatusData/NoData.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ndt/Desktop/DATN/frontend-app/src/components/SwitchWithText/SwitchWithText.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"/Users/ndt/Desktop/DATN/frontend-app/src/components/TableLoading/SkeletonTableBody.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/ndt/Desktop/DATN/frontend-app/src/components/ToastNotifier/ConfirmSwitchSmartWallet.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/ndt/Desktop/DATN/frontend-app/src/components/ToastNotifier/ToastNotifier.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/chainId.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/contractAddress/evm/index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/contractAddress/solana/index.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/network.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/protocols.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/BaseTokenInfo.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/EvmTokenInfo.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum-testnet/index.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum-testnet/mapNameToInfoEthereumTestnet.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum/EthereumChainTokenInfo.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum/index.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/list-tokens/ethereum/mapNameToInfoEthereum.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/evm-ecosystem/mapNameToInfoEthereum.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/mapNameToInfo.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/SolanaEcosystemTokenInfo.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/mapNameToInfoSolana.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-devnet/SolanaDevnetTokenInfo.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-devnet/index.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 114
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-devnet/mapNameToInfoSolanaDevnet.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-mainnet/SolanaMainnetTokenInfo.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-mainnet/index.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 113
"/Users/ndt/Desktop/DATN/frontend-app/src/constants/tokens/solana-ecosystem/solana-mainnet/mapNameToInfoSolanaMainnet.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/ndt/Desktop/DATN/frontend-app/src/contracts/evm/abi/universalWallet.ts", "TypeScript", 0, 1032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1033
"/Users/ndt/Desktop/DATN/frontend-app/src/contracts/evm/abi/vault.ts", "TypeScript", 0, 437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 438
"/Users/ndt/Desktop/DATN/frontend-app/src/contracts/evm/abi/vaultRouter.ts", "TypeScript", 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 303
